Group	Replicate	Sample	File
H1975	1	H1975.1	barcode01
H1975	2	H1975.2	barcode02
H1975	3	H1975.3	barcode03
HCC827	1	HCC827.1	barcode04
HCC827	2	HCC827.2	barcode05
HCC827	3	HCC827.3	barcode06
025-H1975_075-HCC827	1	025-H1975.1_075-HCC827.1	mix_025075_1
025-H1975_075-HCC827	2	025-H1975.2_075-HCC827.2	mix_025075_2
025-H1975_075-HCC827	3	025-H1975.3_075-HCC827.3	mix_025075_3
050-H1975_050-HCC827	1	050-H1975.1_050-HCC827.1	mix_050050_1
050-H1975_050-HCC827	2	050-H1975.2_050-HCC827.2	mix_050050_2
050-H1975_050-HCC827	3	050-H1975.3_050-HCC827.3	mix_050050_3
075-H1975_025-HCC827	1	075-H1975.1_025-HCC827.1	mix_075025_1
075-H1975_025-HCC827	2	075-H1975.2_025-HCC827.2	mix_075025_2
075-H1975_025-HCC827	3	075-H1975.3_025-HCC827.3	mix_075025_3
