study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJNA258286	SRP045534	SAMN02991530	SRS685538	SRX681985	SRR1552444	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	27919481	2791948100	GEO	2015-01-21	2020-05-17	Illumina HiSeq 2000 sequencing; GSM1480291: Luminal virgin #1; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480291	GSM1480291_r1	2386897943	d5e383a6fdf2b42238e3d0666c75c749	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1552444/SRR1552444.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/004/SRR1552444/SRR1552444.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/004/SRR1552444/SRR1552444.fastq.gz							1860436486	03330eda1ade022e49c6688c09bfc716	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/004/SRR1552444	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/004/SRR1552444	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/004/SRR1552444				GSM1480291		Luminal virgin #1		2015-01-21
PRJNA258286	SRP045534	SAMN02991531	SRS685539	SRX681986	SRR1552445	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	29731031	2973103100	GEO	2015-01-21	2019-10-17	Illumina HiSeq 2000 sequencing; GSM1480292: Luminal virgin #2; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480292	GSM1480292_r1	2542768764	31b87f121c101022958ff452f6733c65	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1552445/SRR1552445.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/005/SRR1552445/SRR1552445.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/005/SRR1552445/SRR1552445.fastq.gz							1982141676	8129b0487b3d54d2ba6cc1c7dd65132c	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/005/SRR1552445	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/005/SRR1552445	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/005/SRR1552445				GSM1480292		Luminal virgin #2		2015-01-21
PRJNA258286	SRP045534	SAMN02991532	SRS685541	SRX681987	SRR1552446	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	29879070	2987907000	GEO	2015-01-21	2020-05-17	Illumina HiSeq 2000 sequencing; GSM1480293: Luminal 18.5 dP #1; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480293	GSM1480293_r1	2531669655	523ed21727adfa4acac89a362e335bc1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR1552446/SRR1552446.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/006/SRR1552446/SRR1552446.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/006/SRR1552446/SRR1552446.fastq.gz							1991327031	3d38171cd97966c381144ed92cd9162c	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/006/SRR1552446	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/006/SRR1552446	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/006/SRR1552446				GSM1480293		Luminal 18.5 dP #1		2015-01-21
PRJNA258286	SRP045534	SAMN02991533	SRS685542	SRX681988	SRR1552447	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	29245388	2924538800	GEO	2015-01-21	2019-11-09	Illumina HiSeq 2000 sequencing; GSM1480294: Luminal 18.5 dP #2; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480294	GSM1480294_r1	2470719685	e3c6a4448fcca8a8744e9edd13e838f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1552447/SRR1552447.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/007/SRR1552447/SRR1552447.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/007/SRR1552447/SRR1552447.fastq.gz							1947378184	8f3916341790bd4c9b14d426a0089352	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/007/SRR1552447	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/007/SRR1552447	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/007/SRR1552447				GSM1480294		Luminal 18.5 dP #2		2015-01-21
PRJNA258286	SRP045534	SAMN02991534	SRS685543	SRX681989	SRR1552448	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	31425424	3142542400	GEO	2015-01-21	2020-05-17	Illumina HiSeq 2000 sequencing; GSM1480295: Luminal 2 dL #1; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480295	GSM1480295_r1	2531466922	56081e7685d8a34e6d77cf5b9dc1d638	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1552448/SRR1552448.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/008/SRR1552448/SRR1552448.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/008/SRR1552448/SRR1552448.fastq.gz							2083011494	17b27369eb8e01abe8dc7cdc0d157732	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/008/SRR1552448	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/008/SRR1552448	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/008/SRR1552448				GSM1480295		Luminal 2 dL #1		2015-01-21
PRJNA258286	SRP045534	SAMN02991535	SRS685544	SRX681990	SRR1552449	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	31276061	3127606100	GEO	2015-01-21	2019-10-13	Illumina HiSeq 2000 sequencing; GSM1480296: Luminal 2 dL #2; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480296	GSM1480296_r1	2524332522	b85041f12a9379e03b227ab36031fd23	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1552449/SRR1552449.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/009/SRR1552449/SRR1552449.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/009/SRR1552449/SRR1552449.fastq.gz							2071447130	e9453b3d11067b8c5929349be3b4a879	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/009/SRR1552449	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/009/SRR1552449	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/009/SRR1552449				GSM1480296		Luminal 2 dL #2		2015-01-21
PRJNA258286	SRP045534	SAMN02991536	SRS685545	SRX681991	SRR1552450	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	30109290	3010929000	GEO	2015-01-21	2019-12-22	Illumina HiSeq 2000 sequencing; GSM1480297: Basal virgin #1; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480297	GSM1480297_r1	2540685432	1147862183154ef4f84a71ea79b65d48	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1552450/SRR1552450.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/000/SRR1552450/SRR1552450.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/000/SRR1552450/SRR1552450.fastq.gz							1978104563	66a3fd41a1406eca2a31eca8783c7f6b	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/000/SRR1552450	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/000/SRR1552450	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/000/SRR1552450				GSM1480297		Basal virgin #1		2015-01-21
PRJNA258286	SRP045534	SAMN02991537	SRS685546	SRX681992	SRR1552451	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	28322351	2832235100	GEO	2015-01-21	2019-11-08	Illumina HiSeq 2000 sequencing; GSM1480298: Basal virgin #2; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480298	GSM1480298_r1	2395533451	fae3fde452781121d54953e62ea6467c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1552451/SRR1552451.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/001/SRR1552451/SRR1552451.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/001/SRR1552451/SRR1552451.fastq.gz							1865166750	41a433683d50ad9eddf75a16f50c8c48	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/001/SRR1552451	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/001/SRR1552451	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/001/SRR1552451				GSM1480298		Basal virgin #2		2015-01-21
PRJNA258286	SRP045534	SAMN02991538	SRS685548	SRX681993	SRR1552452	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	31688348	3168834800	GEO	2015-01-21	2020-05-17	Illumina HiSeq 2000 sequencing; GSM1480299: Basal 18.5 dP #1; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480299	GSM1480299_r1	2674219834	9ab9fb5208d692ec4b5ad2362925a6d6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1552452/SRR1552452.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/002/SRR1552452/SRR1552452.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/002/SRR1552452/SRR1552452.fastq.gz							2082601435	119d427aa9c0ebb94247058823ce3ed9	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/002/SRR1552452	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/002/SRR1552452	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/002/SRR1552452				GSM1480299		Basal 18.5 dP #1		2015-01-21
PRJNA258286	SRP045534	SAMN02991539	SRS685547	SRX681994	SRR1552453	SRA179382	10090	Mus musculus	ILLUMINA	Illumina HiSeq 2000			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	29614284	2961428400	GEO	2015-01-21	2019-11-26	Illumina HiSeq 2000 sequencing; GSM1480300: Basal 18.5 dP #2; Mus musculus; RNA-Seq	Transcriptome analysis of luminal and basal cell subpopulations in the lactating versus pregnant mammary gland	GSE60450	GSM1480300	GSM1480300_r1	2504004356	04fc266936a5c148c41d5aec22168976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1552453/SRR1552453.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR155/003/SRR1552453/SRR1552453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/003/SRR1552453/SRR1552453.fastq.gz							1950713167	4cad77bec7c17aabf14587374f055903	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/003/SRR1552453	fasp.sra.ebi.ac.uk:/vol1/srr/SRR155/003/SRR1552453	ftp.sra.ebi.ac.uk/vol1/srr/SRR155/003/SRR1552453				GSM1480300		Basal 18.5 dP #2		2015-01-21
