Sample	Group	Replicate	Population	File
Luminal.V.1	Luminal.V	1	Luminal	GSM1480291.fastq.gz
Luminal.V.2	Luminal.V	2	Luminal	GSM1480292.fastq.gz
Luminal.P.1	Luminal.P	1	Luminal	GSM1480293.fastq.gz
Luminal.P.2	Luminal.P	2	Luminal	GSM1480294.fastq.gz
Luminal.L.1	Luminal.L	1	Luminal	GSM1480295.fastq.gz
Luminal.L.2	Luminal.L	2	Luminal	GSM1480296.fastq.gz
Basal.V.1	Basal.V	1	Basal	GSM1480297.fastq.gz
Basal.V.2	Basal.V	2	Basal	GSM1480298.fastq.gz
Basal.P.1	Basal.P	1	Basal	GSM1480299.fastq.gz
Basal.P.2	Basal.P	2	Basal	GSM1480300.fastq.gz
Basal.L.1	Basal.L	1	Basal	GSM1480301.fastq.gz
Basal.L.2	Basal.L	2	Basal	GSM1480302.fastq.gz
